time,ethusdt,btcusdt
1681117810.9569995,1858.05,28292.31
1681117811.9828103,1858.04,28292.3
1681117813.4870002,1858.04,28292.3
1681117814.543091,1858.05,28292.31
1681117815.984421,1858.05,28292.31
1681117817.0295997,1858.05,28292.31
1681117818.126197,1858.05,28292.3
1681117819.150982,1858.04,28292.31
1681117820.1747139,1858.05,28292.31
1681117821.2071495,1858.05,28292.31
1681117822.2222507,1858.05,28292.3
1681117823.2492838,1858.05,28292.31
1681117824.2830815,1858.05,28292.3
1681117825.2937407,1858.05,28292.3
1681117826.3202178,1858.04,28292.3
1681117827.344555,1858.04,28292.31
1681117828.3692422,1858.04,28292.31
1681117829.388982,1858.04,28292.3
1681117830.4213147,1858.05,28292.3
1681117831.4376225,1858.04,28292.3
1681117832.5754826,1858.04,28292.3
1681117833.5935824,1858.04,28292.31
1681117834.6195211,1858.04,28292.31
1681117835.7518065,1858.04,28292.31
1681117836.878612,1858.04,28292.31
1681117837.8925073,1858.04,28292.3
1681117838.9107325,1857.96,28292.3
1681117839.9362235,1857.95,28292.3
1681117840.9608617,1857.96,28292.3
1681117841.988411,1857.96,28292.3
1681117843.012007,1857.99,28292.3
1681117844.1413767,1858.05,28292.3
1681117845.277402,1858.05,28292.31
1681117846.3039987,1858.05,28292.31
1681117847.8208961,1858.05,28292.3
1681117848.8480783,1858.06,28292.31
1681117849.8706603,1858.06,28292.3
1681117850.9946468,1858.05,28292.31
1681117852.0378165,1858.05,28292.31
1681117853.013191,1858.05,28292.31
1681117853.9852998,1858.05,28292.31
1681117854.9890049,1858.05,28292.31
1681117856.027919,1858.05,28292.31
1681117857.047421,1858.05,28292.31
1681117858.0659752,1858.05,28292.31
1681117859.0854764,1858.05,28292.31
1681117860.5322988,1858.05,28292.31
1681117861.5529256,1858.06,28292.31
1681117862.4890451,1858.05,28292.3
1681117863.4887793,1858.05,28292.3
1681117864.4556646,1858.05,28292.3
1681117865.4436116,1858.05,28292.31
1681117866.5697026,1858.06,28292.31
1681117867.5313306,1858.06,28292.31
1681117868.5098772,1858.06,28292.31
1681117870.5520039,1858.06,28292.31
1681117871.986618,1858.06,28292.31
1681117873.012751,1858.06,28292.3
1681117873.9266884,1858.06,28292.31
1681117875.4744182,1858.06,28292.31
1681117877.119586,1858.06,28293.04
1681117878.135808,1858.06,28293.17
1681117879.1659608,1858.06,28293.17
1681117880.180879,1858.06,28297.93
1681117881.2054057,1858.22,28298.15
1681117882.2277496,1858.22,28298.15
1681117883.207046,1858.21,28298.15
1681117884.6683295,1858.24,28298.15
1681117885.7215614,1858.26,28298.15
1681117887.7630956,1858.25,28297.58
1681117888.7857616,1858.25,28297.58
1681117889.810384,1858.25,28297.57
1681117890.8326416,1858.25,28297.58
1681117891.8522487,1858.25,28297.58
1681117892.7567942,1858.25,28297.58
1681117893.6701415,1858.25,28297.58
1681117894.6880052,1858.26,28297.58
1681117895.70744,1858.26,28297.58
1681117896.6581726,1858.26,28297.58
1681117897.6431518,1858.26,28297.58
1681117898.6472108,1858.26,28297.58
1681117899.633965,1858.26,28297.58
1681117901.1709049,1858.25,28297.57
1681117902.1959968,1858.25,28297.58
1681117903.140115,1858.25,28297.57
1681117904.0862324,1858.25,28297.57
1681117905.1695383,1858.25,28297.58
1681117907.4265249,1858.25,28297.57
1681117909.6718338,1858.26,28297.58
1681117911.8231132,1858.26,28297.57
1681117912.8478587,1858.26,28300.0
1681117913.8736799,1858.26,28300.0
1681117914.8993309,1858.25,28300.0
1681117915.9225595,1858.26,28300.0
1681117916.9298244,1858.25,28299.99
1681117917.933495,1858.25,28299.99
1681117918.9880543,1858.25,28299.99
1681117920.0116792,1858.26,28300.0
1681117921.036583,1858.25,28300.0
1681117922.0663903,1858.26,28299.99
1681117923.08913,1858.25,28299.99
